hotspot_id,hotspot_name,police_station,latitude,longitude,pcis_score,drift_score,severity_norm,repeat_offender_density_norm,priority_score,priority_band,rank_city,rank_station
U-495638b8,Unknown Hotspot U-0197,Wilson Garden,12.9382689,77.5926256,38.72,0.0,68.6606,2.1251,29.5389,Medium,409,10
U-90976faf,Unknown Hotspot U-0228,Shivajinagar,12.9901272,77.6037974,36.05,0.0,13.5874,82.5974,29.5271,Medium,410,10
U-da08fe97,Unknown Hotspot U-0155,Yelahanka,13.0996493,77.588657,42.76,0.0,57.4047,5.994,29.484,Medium,411,6
U-610e4d83,Unknown Hotspot U-0376,Yelahanka,13.1199416,77.6100166,52.14,0.0,38.5914,5.994,29.4734,Medium,412,7
U-9da078be,Unknown Hotspot U-0140,J.P. Nagar,12.8818099,77.5958677,43.12,0.0,60.9584,0.0,29.4397,Medium,413,6
U-f1352255,Unknown Hotspot U-0113,Mahadevapura,13.0046674,77.7571085,39.37,0.0,65.316,3.4632,29.3307,Medium,414,11
N-ee953b3a,"BTP114 - KR Road Junction, Near JSS",Banashankari,12.9242347,77.5748945,56.73,0.0,32.2881,1.1988,29.3295,Medium,415,5
U-2b23b26a,Unknown Hotspot U-0028,HSR Layout,12.9164189,77.6381905,40.34,0.0,62.4216,4.329,29.2697,Medium,416,7
N-313d48e9,BTP054 - Shivananda Circle,Sheshadripuram,12.9884258,77.5771857,41.04,0.0,55.9254,10.3896,29.1595,Medium,417,6
N-5ecf966f,BTP076 - Hudson Circle,Cubbon Park,12.9680865,77.5887662,44.11,0.0,49.8312,10.1299,29.1297,Medium,418,11
U-684cbce9,Unknown Hotspot U-0298,Malleshwaram,13.0118992,77.5690461,41.89,0.0,29.9083,42.5974,29.1273,Medium,419,14
N-40e5578e,BTP067 - Jai Muni Rao Circle,Vijayanagara,12.978439,77.5424976,40.76,0.0,49.5096,19.295,29.1002,Medium,420,18
U-9d95da97,Unknown Hotspot U-0188,Jeevanbheemanagar,12.9588544,77.6598287,57.96,0.0,26.0653,4.4527,29.065,Medium,421,9
U-813aa291,Unknown Hotspot U-0344,Banashankari,12.9192499,77.5421289,59.05,0.0,26.0814,1.1988,29.0161,Medium,422,6
N-77d8627d,"BTP191 - 40th Cross, 4th Main, Jayanagar",Jayanagara,12.9201062,77.5822013,46.79,0.0,50.2492,1.3552,28.9691,Medium,423,14
